,humidity.S,temperature.S,timestamp.S
136,44.85,21.26,2023-05-27 16:00:04.341383
7,44.50,21.22,2023-05-27 16:10:03.827827
58,44.37,21.30,2023-05-27 16:20:04.376575
120,43.86,21.26,2023-05-27 16:30:03.812081
10,43.88,21.35,2023-05-27 16:40:04.289371
88,44.07,21.36,2023-05-27 16:50:03.742112
28,44.26,21.40,2023-05-27 17:00:04.204711
3,44.25,21.39,2023-05-27 17:10:04.672975
21,43.74,21.49,2023-05-27 17:20:04.175324
12,44.30,21.52,2023-05-27 17:30:04.612699
52,44.35,21.53,2023-05-27 17:40:04.091233
6,44.41,21.72,2023-05-27 17:50:04.526108
110,44.52,21.72,2023-05-27 18:00:03.968376
74,44.89,21.67,2023-05-27 18:10:04.446020
73,45.44,21.87,2023-05-27 18:20:04.175425
83,45.74,21.84,2023-05-27 18:30:04.638330
18,45.92,21.84,2023-05-27 18:40:04.114102
1,46.07,21.98,2023-05-27 18:50:04.559641
59,46.28,21.88,2023-05-27 19:00:03.984659
33,46.42,21.94,2023-05-27 19:10:04.435734
102,46.71,22.01,2023-05-27 19:20:03.905517
131,46.77,21.98,2023-05-27 19:30:04.364303
119,46.77,21.96,2023-05-27 19:40:03.846919
2,46.64,21.94,2023-05-27 19:50:04.316023
93,46.53,21.94,2023-05-27 20:00:03.710895
61,46.42,21.96,2023-05-27 20:10:04.183607
60,46.32,21.87,2023-05-27 20:20:04.705880
53,46.13,21.80,2023-05-27 20:30:04.138529
62,45.80,21.91,2023-05-27 20:40:04.612225
44,44.66,22.25,2023-05-27 20:50:04.039823
49,45.78,22.42,2023-05-27 21:00:04.478940
89,46.07,22.61,2023-05-27 21:10:03.939741
34,46.00,22.54,2023-05-27 21:20:04.465545
8,45.85,22.73,2023-05-27 21:30:03.890809
14,45.70,22.66,2023-05-27 21:40:04.364138
105,45.51,22.77,2023-05-27 21:50:03.790068
50,45.24,22.66,2023-05-27 22:00:04.243666
125,45.01,22.76,2023-05-27 22:10:03.695261
13,45.03,22.70,2023-05-27 22:20:04.192031
32,44.87,22.77,2023-05-27 22:30:04.640228
139,44.90,22.58,2023-05-27 22:40:04.116623
20,44.80,22.73,2023-05-27 22:50:04.539653
133,45.00,22.56,2023-05-27 23:00:04.014108
103,45.04,22.49,2023-05-27 23:10:04.479176
43,44.98,22.39,2023-05-27 23:20:03.965985
71,45.25,22.42,2023-05-27 23:30:04.386184
48,45.11,22.58,2023-05-27 23:40:03.839551
24,45.29,22.63,2023-05-27 23:50:04.257684
16,45.45,22.52,2023-05-28 00:00:04.697412
64,45.17,22.45,2023-05-28 00:10:04.192778
30,45.30,22.44,2023-05-28 00:20:04.673045
124,45.28,22.44,2023-05-28 00:30:04.106022
138,46.23,22.07,2023-05-28 00:40:04.601219
63,46.28,22.01,2023-05-28 00:50:04.039901
100,46.52,21.72,2023-05-28 01:00:04.473480
94,46.58,21.73,2023-05-28 01:10:03.959334
134,46.72,21.67,2023-05-28 01:20:04.438432
129,46.68,21.63,2023-05-28 01:30:03.895047
31,46.83,21.53,2023-05-28 01:40:04.404249
41,46.72,21.50,2023-05-28 01:50:03.827524
91,46.63,21.43,2023-05-28 02:00:04.259832
39,46.72,21.42,2023-05-28 02:10:03.720373
118,46.79,21.36,2023-05-28 02:20:04.203971
82,46.63,21.26,2023-05-28 02:30:04.658941
114,46.63,21.29,2023-05-28 02:40:04.130738
107,46.65,21.30,2023-05-28 02:50:04.568530
116,46.55,21.24,2023-05-28 03:00:03.995124
86,46.64,21.19,2023-05-28 03:10:04.455854
47,46.69,21.15,2023-05-28 03:20:03.902793
9,46.41,21.09,2023-05-28 03:30:04.334405
85,46.55,21.15,2023-05-28 03:40:03.798044
84,46.55,21.03,2023-05-28 03:50:04.235815
106,46.48,21.08,2023-05-28 04:00:04.652939
99,46.65,20.92,2023-05-28 04:10:04.114588
130,46.69,20.98,2023-05-28 04:20:04.592132
113,46.67,20.87,2023-05-28 04:30:04.048730
81,46.79,20.88,2023-05-28 04:40:04.526952
123,46.75,20.85,2023-05-28 04:50:03.933256
17,46.46,20.74,2023-05-28 05:00:04.359154
72,46.52,20.74,2023-05-28 05:10:03.818028
104,46.53,20.67,2023-05-28 05:20:04.286652
67,46.47,20.68,2023-05-28 05:30:03.722671
142,46.47,20.64,2023-05-28 05:40:04.212160
55,46.34,20.63,2023-05-28 05:50:04.640241
115,46.30,20.64,2023-05-28 06:00:04.069898
4,46.36,20.52,2023-05-28 06:10:04.540961
23,46.32,20.61,2023-05-28 06:20:04.014105
68,46.37,20.57,2023-05-28 06:30:04.559955
87,46.40,20.44,2023-05-28 06:40:04.037226
38,46.40,20.52,2023-05-28 06:50:04.537999
95,46.48,20.68,2023-05-28 07:00:03.967123
45,46.54,20.57,2023-05-28 07:10:04.424291
69,46.36,20.50,2023-05-28 07:20:03.907527
40,46.24,20.54,2023-05-28 07:30:04.362799
109,45.51,20.61,2023-05-28 07:40:03.873925
51,45.08,20.52,2023-05-28 07:50:04.308274
29,43.83,20.55,2023-05-28 08:00:03.727435
27,43.73,20.51,2023-05-28 08:10:04.177178
75,43.65,20.58,2023-05-28 08:20:04.694981
11,43.65,20.59,2023-05-28 08:30:04.133735
57,43.56,20.65,2023-05-28 08:40:04.600550
111,43.32,20.61,2023-05-28 08:50:04.018573
141,43.76,20.77,2023-05-28 09:00:04.429650
121,44.75,20.82,2023-05-28 09:10:03.883378
122,45.35,20.91,2023-05-28 09:20:04.396110
22,46.34,20.87,2023-05-28 09:30:03.849922
98,44.46,20.85,2023-05-28 09:40:04.289365
25,44.57,20.96,2023-05-28 09:50:03.692527
90,45.43,21.09,2023-05-28 10:00:04.126601
135,45.65,21.01,2023-05-28 10:10:04.580654
37,43.70,21.09,2023-05-28 10:20:04.105745
143,42.66,21.03,2023-05-28 10:30:04.516785
140,43.33,21.12,2023-05-28 10:40:03.980816
80,42.22,21.16,2023-05-28 10:50:04.466487
46,41.94,21.18,2023-05-28 11:00:03.898709
117,41.95,21.29,2023-05-28 11:10:04.371742
36,41.67,21.29,2023-05-28 11:20:03.858542
54,41.02,21.33,2023-05-28 11:30:04.274632
128,41.08,21.32,2023-05-28 11:40:03.761131
92,40.95,21.35,2023-05-28 11:50:04.217024
96,40.81,21.37,2023-05-28 12:00:04.632737
132,40.85,21.39,2023-05-28 12:10:04.085950
26,40.69,21.47,2023-05-28 12:20:04.572076
56,40.39,21.47,2023-05-28 12:30:04.018374
112,40.41,21.43,2023-05-28 12:40:04.519020
66,40.19,21.49,2023-05-28 12:50:03.970033
35,40.13,21.54,2023-05-28 13:00:04.471887
0,40.43,21.60,2023-05-28 13:10:03.945848
79,40.65,21.43,2023-05-28 13:20:04.438619
126,40.54,21.54,2023-05-28 13:30:03.856841
77,40.89,21.67,2023-05-28 13:40:04.327714
70,41.12,21.66,2023-05-28 13:50:03.746691
127,41.47,21.66,2023-05-28 14:00:04.212354
97,41.83,21.72,2023-05-28 14:10:04.666755
42,42.02,21.72,2023-05-28 14:20:04.167647
101,42.24,21.64,2023-05-28 14:30:04.617031
19,42.54,21.80,2023-05-28 14:40:04.102432
5,42.54,21.83,2023-05-28 14:50:04.522041
137,43.60,21.90,2023-05-28 15:00:03.950410
15,43.86,21.87,2023-05-28 15:10:04.410355
76,43.89,21.93,2023-05-28 15:20:03.936285
78,43.98,21.96,2023-05-28 15:30:04.380381
65,43.27,21.93,2023-05-28 15:40:03.839667
108,43.72,22.10,2023-05-28 15:50:04.277316
